family_id,name_en,source_category,image_filename
"whole-fish--keli","KELI","Whole Fish",""
"whole-fish--puput","PUPUT","Whole Fish",""
"whole-fish--salmon","SALMON","Whole Fish",""
"prawn--sea-cucumber","SEA CUCUMBER","Prawn",""
"prawn--crayfish","CRAYFISH","Prawn",""
"prawn--white-prawn","WHITE PRAWN","Prawn",""
"shell--clam-meat","CLAM MEAT","Shell",""
"shell--mussel","MUSSEL","Shell",""
"chicken--chicken-breast","CHICKEN BREAST","Chicken",""
"beef--beef-striploin-minced","BEEF STRIPLOIN (MINCED)","Beef",""
"lamb--lamb-shoulder-aus","LAMB SHOULDER (AUS)","Lamb",""
"lamb--lamb-shoulder-nz","LAMB SHOULDER (NZ)","Lamb",""
"lamb--mutton-shoulder-aus","MUTTON SHOULDER (AUS)","Lamb",""
"duck--smoked-duck-breast-halal","SMOKED DUCK BREAST (HALAL)","Duck",""
"others--frozen-udon-homemade","FROZEN UDON HOMEMADE","Others",""
"others--half-shell-sacllop-roe-on","HALF SHELL SACLLOP (ROE-ON)","Others",""
"others--hokkigai-m","HOKKIGAI (M)","Others",""
"others--nobashi-ebi-30s","NOBASHI EBI 30S","Others",""
"others--panko-ebi-10s","PANKO EBI 10S","Others",""
"prawn--ql-figo-prawn-gyoza-halal","QL FIGO PRAWN GYOZA (HALAL)","Prawn",""
"prawn--tempura-shrimps","TEMPURA SHRIMPS","Prawn",""
"chicken--chicken-cheese-bite","CHICKEN CHEESE BITE","Chicken",""
"chicken--chicken-cocktail-cheese","CHICKEN COCKTAIL (CHEESE)","Chicken",""
"chicken--chicken-cocktail-smoked","CHICKEN COCKTAIL (SMOKED)","Chicken",""
"chicken--gold-tempura-chicken-nugget","GOLD TEMPURA CHICKEN NUGGET","Chicken",""
"chicken--jumbo-chicken-sausage-7-black-pepper","JUMBO CHICKEN SAUSAGE 7"" (BLACK PEPPER)","Chicken",""
"chicken--jumbo-chicken-sausage-7-cheese","JUMBO CHICKEN SAUSAGE 7"" (CHEESE)","Chicken",""
